,,,,precision,precision,recall,recall,fpr,fpr,event_recall,event_recall,missed_events,missed_events,mean_detection_delay,mean_detection_delay,false_alarms_per_1000,false_alarms_per_1000,mae,mae,rmse,rmse,nrmse_mean,nrmse_mean,transmitted_values,transmitted_values,transmitted_payload_bytes,transmitted_payload_bytes,realized_bandwidth,realized_bandwidth,max_window_excess_values,max_window_excess_values,f1,f1,specificity,specificity,n_events,n_events
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,method,protocol,budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psm,Threshold,fixed_full_data,0.3,0.9796464612156882,0.015120665878377307,0.01782535580985186,0.004197295280712536,0.00014182161991801317,9.840841472417184e-05,0.11666666666666665,0.025230419617479117,63.6,1.8165902124584954,1311.0941919191919,265.48055928301267,0.05009050443414801,0.044529564134306164,0.1008152269801796,0.0005840390553898361,0.281053600249416,0.00882382443707108,0.0187778843237677,0.0003519634987487998,658807.0,0.0,2635228.0,0.0,0.2999997723158889,0.0,0.0,0.0,0.03498667553057166,0.008061767261850606,0.999858178380082,9.840841472419629e-05,72.0,0.0
psm,Threshold,fixed_full_data,0.5,0.9721929555325547,0.01801830495933971,0.017554653213567882,0.003445549902385888,0.00019855026788524245,0.00013398897995257157,0.1361111111111111,0.05046083923495819,62.2,3.63318042491699,852.211717171717,339.1402738622647,0.0956273266470099,0.0671571644391691,0.06232303637745692,0.0004962401007959461,0.22759091776580553,0.013574129674537276,0.01558342198973774,0.00034163715157476906,1098012.0,0.0,4392048.0,0.0,0.4999997723158889,0.0,0.0,0.0,0.03446728461059112,0.0066242770534331525,0.9998014497321147,0.00013398897995260396,72.0,0.0
psm,Threshold,fixed_full_data,0.7,0.9672787180626747,0.026703815150602637,0.0181288708420491,0.003374011618568343,0.00025212732429872925,0.00022145397608817134,0.1916666666666666,0.02060055135304353,58.2,1.4832396974191324,719.2050366300366,119.05802827590203,0.12067257886408392,0.07993301388436815,0.02131524720977946,8.217046335210311e-05,0.1307727867765058,0.013963033248915983,0.00757718479749864,0.00012042053658556045,1537217.0,0.0,6148868.0,0.0,0.699999772315889,0.0,0.0,0.0,0.03557035840776818,0.0064705553525956005,0.9997478726757013,0.00022145397608819623,72.0,0.0
psm,Threshold,method_retrained,0.3,0.9744103089023113,0.024356989584067092,0.01698863869406498,0.0020090082116946593,0.00018279231011659463,0.00018397036082818408,0.10277777777777777,0.027074428735580476,64.6,1.949358868961794,813.9583333333333,274.5431226247628,0.04553682221286184,0.036889042123882124,0.1008152269801796,0.0005840390553898361,0.281053600249416,0.00882382443707108,0.0187778843237677,0.0003519634987487998,658807.0,0.0,2635228.0,0.0,0.2999997723158889,0.0,0.0,0.0,0.03338708350026084,0.0038697553752282537,0.9998172076898835,0.00018397036082821433,72.0,0.0
psm,Threshold,method_retrained,0.5,0.9803193928437883,0.012259814115683462,0.0160780935974734,0.0010257986957384945,0.00012606366214936,7.878978884335e-05,0.125,0.027777777777777794,63.0,2.0,985.4113636363636,323.2440521286823,0.06375155109800658,0.041517247137009945,0.06232303637745692,0.0004962401007959461,0.22759091776580553,0.013574129674537276,0.01558342198973774,0.00034163715157476906,1098012.0,0.0,4392048.0,0.0,0.4999997723158889,0.0,0.0,0.0,0.03163541115031848,0.0019822068660756685,0.9998739363378506,7.878978884338153e-05,72.0,0.0
psm,Threshold,method_retrained,0.7,0.9802099310561398,0.022233205937466704,0.018153480168984,0.004922941927301361,0.00017648912700912245,0.00025148634248224096,0.18055555555555552,0.040492721491981264,59.0,2.9154759474226504,503.92891265597143,136.59778361554936,0.10928837331086846,0.14724843892492137,0.02131524720977946,8.217046335210311e-05,0.1307727867765058,0.013963033248915983,0.00757718479749864,0.00012042053658556045,1537217.0,0.0,6148868.0,0.0,0.699999772315889,0.0,0.0,0.0,0.03560247783620646,0.009403271168827854,0.9998235108729908,0.0002514863424822502,72.0,0.0
psm,Uniform,fixed_full_data,0.3,0.9704499716973818,0.02649617345187421,0.017940199335548117,0.003958435715399453,0.00022691459186886782,0.00021246963492823744,0.1222222222222222,0.030110393595387242,63.2,2.1679483388678804,958.2193073593073,280.03367755534214,0.054644186655434204,0.040569960909382786,0.1045477344840384,0.00022789048789065405,0.2970633317093939,0.01193898490299178,0.015202760337666899,0.00012593318816804,658807.0,0.0,2635228.0,0.0,0.2999997723158889,0.0,0.0,0.0,0.03520210990291392,0.007589432808721767,0.9997730854081311,0.00021246963492825693,72.0,0.0
psm,Uniform,fixed_full_data,0.5,0.9712668032894898,0.028072737659584273,0.01806324597022268,0.0037870698962260713,0.0002237630003151439,0.00022490310262443953,0.14999999999999997,0.022821773229381906,61.2,1.643167672515499,789.0257575757576,199.57864214596322,0.061474709987363506,0.06056140562275197,0.06868499904750683,0.00021135938958640168,0.23692099177801737,0.01849740700208964,0.01180978945082688,0.00011857763067555666,1098012.0,0.0,4392048.0,0.0,0.4999997723158889,0.0,0.0,0.0,0.035441685415839044,0.00725983632492,0.9997762369996849,0.000224903102624463,72.0,0.0
psm,Uniform,fixed_full_data,0.7,0.973753297492074,0.025774829058145637,0.01807144907920098,0.0033816813081446336,0.0001953986763315278,0.00019669062435083128,0.1694444444444444,0.015214515486254599,59.8,1.0954451150103326,762.3389610389611,170.35722040676467,0.0933504855363668,0.07172952949999825,0.03916981667325474,7.88129972344014e-05,0.1757062490699297,0.013378961355178558,0.008648985727241461,7.257249966729438e-05,1537217.0,0.0,6148868.0,0.0,0.699999772315889,0.0,0.0,0.0,0.03546562351080828,0.006493895228231478,0.9998046013236686,0.00019669062435087717,72.0,0.0
psm,Uniform,method_retrained,0.3,0.9735723391100709,0.029608121912265795,0.01566793814855826,0.0004202842691423577,0.00017018594390166782,0.00019247943882259343,0.10277777777777777,0.02106354290014321,64.6,1.5165750888103116,683.6837301587301,137.85919311786972,0.034152616659646376,0.03219939578040085,0.1045477344840384,0.00022789048789065405,0.2970633317093939,0.01193898490299178,0.015202760337666899,0.00012593318816804,658807.0,0.0,2635228.0,0.0,0.2999997723158889,0.0,0.0,0.0,0.030838593845973438,0.0008058859469109894,0.9998298140560984,0.00019247943882263015,72.0,0.0
psm,Uniform,method_retrained,0.5,0.9737250329796717,0.022116730292493347,0.01698043558508668,0.001950503713863202,0.00018594390167033027,0.0001676575616548294,0.1472222222222222,0.031974623425614815,61.4,2.3021728866442674,678.5988578088578,402.4859923514818,0.06830523331929275,0.05459673185998246,0.06868499904750683,0.00021135938958640168,0.23692099177801737,0.01849740700208964,0.01180978945082688,0.00011857763067555666,1098012.0,0.0,4392048.0,0.0,0.4999997723158889,0.0,0.0,0.0,0.0333713760867511,0.0037555600162044785,0.9998140560983296,0.00016765756165491082,72.0,0.0
