dataset,method,protocol,budget,seed,weighted_f1,macro_f1,macro_precision,macro_recall,rmse,mae,nrmse_mean,realized_bandwidth,transmitted_values,transmitted_payload_bytes,budget_excess,max_window_budget_excess,elapsed_s,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events
tep,Variance,method_retrained,0.5,123,0.6903850432617423,0.6993664290233221,0.7144741715025796,0.6908487683487683,0.25582511032139377,0.09924675092316593,0.10001253197328536,0.5,1365000,5460000,0.0,0.0,3.4114974999101833,0.9620322979174021,0.9065904365904366,0.9334888898403049,0.3911363636363636,0.6088636363636364,1.0,1.45,1.0,475.0,9.047619047619047,100.0
tep,Variance,fixed_full_data,0.5,123,0.6826548785401509,0.6936378428871901,0.7003490202942217,0.7005558855558855,0.25582511032139377,0.09924675092316593,0.10001253197328536,0.5,1365000,5460000,0.0,0.0,3.5751378330169246,0.9397790165637675,0.9778586278586279,0.9584407380615187,0.685,0.315,1.0,0.16,0.0,344.0,6.552380952380952,100.0
tep,Threshold,method_retrained,0.5,123,0.6392480677518677,0.6465644211668747,0.6630128618362086,0.6418346518346517,0.35170500569329505,0.13818838393329144,0.12226224240625498,0.5,1365000,5460000,0.0,0.0,2.9850703749107197,0.966314833730564,0.8850519750519751,0.9238999511692257,0.3372727272727273,0.6627272727272727,1.0,5.31,1.0,289.0,5.504761904761905,100.0
tep,Threshold,fixed_full_data,0.5,123,0.6408963450574112,0.6506173873988833,0.6603883031863337,0.6624066474066473,0.35170500569329505,0.13818838393329144,0.12226224240625498,0.5,1365000,5460000,0.0,0.0,3.131787499994971,0.93846949327818,0.981081081081081,0.9593023255813954,0.7031818181818181,0.2968181818181818,1.0,0.16,0.0,294.0,5.6,100.0
tep,Uniform,method_retrained,0.5,123,0.7058197021788022,0.7147635122935073,0.7302645424372447,0.7065654390654392,0.47562775452956363,0.17515604418780129,0.1048385643203537,0.5,1365000,5460000,0.0,0.0,3.442091792006977,0.9630637550751674,0.9123076923076923,0.9369988789836118,0.3825,0.6175,1.0,2.21,1.0,516.0,9.82857142857143,100.0
tep,Uniform,fixed_full_data,0.5,123,0.6862800852434079,0.6972552644901855,0.7115419871480817,0.6981829656829658,0.47562775452956363,0.17515604418780129,0.1048385643203537,0.5,1365000,5460000,0.0,0.0,3.611430917051621,0.940663001163864,0.9745738045738046,0.9573181938856781,0.6720454545454545,0.32795454545454544,1.0,0.16,0.0,374.0,7.123809523809523,100.0
tep,Full Data,method_retrained,1.0,123,0.7271902249512493,0.7390531019775166,0.7491975804085375,0.7366808641808642,0.0,0.0,0.0,1.0,2730000,10920000,0.0,0.0,2.672474415972829,0.943012403539251,0.9704989604989605,0.9565582672486219,0.6411363636363636,0.3588636363636364,1.0,0.34,0.0,430.0,8.19047619047619,100.0
tep,Full Data,fixed_full_data,1.0,123,0.7271902249512493,0.7390531019775166,0.7491975804085375,0.7366808641808642,0.0,0.0,0.0,1.0,2730000,10920000,0.0,0.0,2.872887457953766,0.943012403539251,0.9704989604989605,0.9565582672486219,0.6411363636363636,0.3588636363636364,1.0,0.34,0.0,430.0,8.19047619047619,100.0
tep,PCA-Triage,method_retrained,0.5,456,0.6909387205736417,0.7000781126971946,0.7164887440198003,0.6911070236070236,0.2626410882400646,0.10374883333924899,0.0992467271569518,0.5,1365000,5460000,0.0,0.0,4.1412140420870855,0.9611879182810849,0.9077130977130977,0.9336854711090201,0.4006818181818182,0.5993181818181819,1.0,2.68,1.0,417.0,7.942857142857143,100.0
tep,PCA-Triage,fixed_full_data,0.5,456,0.6751110055109373,0.6858206815901979,0.6943250622353228,0.6922324972324974,0.2626410882400646,0.10374883333924899,0.0992467271569518,0.5,1365000,5460000,0.0,0.0,4.308242583065294,0.939654139542314,0.9782952182952183,0.9585854264702887,0.6868181818181818,0.3131818181818182,1.0,0.39,0.0,334.0,6.3619047619047615,100.0
tep,Variance,method_retrained,0.5,456,0.6869014897115826,0.6961933940455965,0.7098376223683881,0.6887979137979139,0.255506872920019,0.09909675720293736,0.10000519210085207,0.5,1365000,5460000,0.0,0.0,3.3971117499750108,0.9597978910369068,0.9083160083160083,0.9333475753044221,0.4159090909090909,0.5840909090909091,1.0,2.86,1.0,379.0,7.219047619047619,100.0
tep,Variance,fixed_full_data,0.5,456,0.6804379107530351,0.6912431590466608,0.6987242722792332,0.6990563715563716,0.255506872920019,0.09909675720293736,0.10000519210085207,0.5,1365000,5460000,0.0,0.0,3.5635371670359746,0.9397549489144317,0.9790644490644491,0.959007045982161,0.6861363636363637,0.31386363636363634,1.0,0.39,0.0,333.0,6.3428571428571425,100.0
tep,Threshold,method_retrained,0.5,456,0.6442593525439703,0.6525552248465706,0.6692382209060975,0.6495295920295922,0.3545407662915052,0.13935647797704534,0.12266730682230696,0.5,1365000,5460000,0.0,0.0,3.006549375015311,0.9642661680197027,0.8791060291060291,0.9197189838176439,0.35613636363636364,0.6438636363636364,1.0,4.99,2.0,331.0,6.304761904761905,100.0
tep,Threshold,fixed_full_data,0.5,456,0.6432531390701953,0.6522856061385477,0.6653775661639656,0.6629295704295706,0.3545407662915052,0.13935647797704534,0.12266730682230696,0.5,1365000,5460000,0.0,0.0,3.160603457945399,0.939427006864807,0.9843866943866943,0.9613814947919839,0.6938636363636363,0.30613636363636365,1.0,0.39,0.0,288.0,5.485714285714286,100.0
tep,Uniform,method_retrained,0.5,456,0.7106658417661964,0.7202039173529798,0.7370337020232822,0.7113046413046413,0.4769005953070314,0.1752442730957547,0.10477552218736226,0.5,1365000,5460000,0.0,0.0,3.493369415984489,0.9612236859381155,0.9132224532224532,0.9366084564702872,0.4027272727272727,0.5972727272727273,1.0,2.55,1.0,515.0,9.80952380952381,100.0
tep,Uniform,fixed_full_data,0.5,456,0.6849994174007497,0.6960092525941937,0.7086139065722132,0.6984129384129384,0.4769005953070314,0.1752442730957547,0.10477552218736226,0.5,1365000,5460000,0.0,0.0,3.658733916003257,0.9403487672880336,0.9753430353430353,0.9575262781916523,0.6763636363636364,0.3236363636363636,1.0,0.39,0.0,354.0,6.742857142857143,100.0
tep,Full Data,method_retrained,1.0,456,0.7270846058933469,0.7377209018286051,0.7472952369767947,0.735043875043875,0.0,0.0,0.0,1.0,2730000,10920000,0.0,0.0,2.711346499971114,0.9454868974441928,0.9721413721413722,0.9586288900733937,0.6127272727272727,0.38727272727272727,1.0,0.22,0.0,393.0,7.485714285714286,100.0
tep,Full Data,fixed_full_data,1.0,456,0.7270846058933469,0.7377209018286051,0.7472952369767947,0.735043875043875,0.0,0.0,0.0,1.0,2730000,10920000,0.0,0.0,2.8995404159650207,0.9454868974441928,0.9721413721413722,0.9586288900733937,0.6127272727272727,0.38727272727272727,1.0,0.22,0.0,393.0,7.485714285714286,100.0
tep,PCA-Triage,method_retrained,0.5,789,0.6885112960708637,0.6972602824389161,0.7127561051967192,0.6878009153009154,0.2648313726007442,0.1043692670238369,0.0998557989018736,0.5,1365000,5460000,0.0,0.0,4.2259452500147745,0.961747193109661,0.9100207900207901,0.9351692606796065,0.3956818181818182,0.6043181818181819,1.0,1.54,1.0,449.0,8.552380952380952,100.0
tep,PCA-Triage,fixed_full_data,0.5,789,0.6864112678969484,0.696915228786335,0.7038226194963141,0.7022461547461548,0.2648313726007442,0.1043692670238369,0.0998557989018736,0.5,1365000,5460000,0.0,0.0,4.4003947919700295,0.9412778234127381,0.9767567567567568,0.9586891534796405,0.6661363636363636,0.33386363636363636,1.0,0.18,0.0,345.0,6.571428571428571,100.0
tep,Variance,method_retrained,0.5,789,0.6840532395466137,0.6928503819925032,0.7067425154218204,0.6851335601335601,0.25821822989150867,0.09990782125895015,0.10044754218999029,0.5,1365000,5460000,0.0,0.0,3.398246333003044,0.960369591872482,0.9118918918918919,0.935503135264258,0.4113636363636364,0.5886363636363636,1.0,1.62,1.0,406.0,7.733333333333333,100.0
tep,Variance,fixed_full_data,0.5,789,0.6846257450769817,0.6950203981391917,0.7008938840041412,0.7020732420732421,0.25821822989150867,0.09990782125895015,0.10044754218999029,0.5,1365000,5460000,0.0,0.0,3.633073791046627,0.9412247512661902,0.9774844074844075,0.9590119629180137,0.6672727272727272,0.3327272727272727,1.0,0.18,0.0,329.0,6.266666666666667,100.0
tep,Threshold,method_retrained,0.5,789,0.6366945063450488,0.6440539319057758,0.6586668132667767,0.6385758610758611,0.35374109623837724,0.13897257021764864,0.12280477383514775,0.5,1365000,5460000,0.0,0.0,3.198016042006202,0.962536537474619,0.8968399168399168,0.9285276106632802,0.3815909090909091,0.6184090909090909,1.0,3.51,2.0,283.0,5.390476190476191,100.0
tep,Threshold,fixed_full_data,0.5,789,0.6436086839652342,0.6524762698987584,0.6633659386569819,0.66254563004563,0.35374109623837724,0.13897257021764864,0.12280477383514775,0.5,1365000,5460000,0.0,0.0,3.352033625007607,0.9403047505228563,0.9814553014553015,0.9604394486546971,0.6811363636363637,0.31886363636363635,1.0,0.18,0.0,303.0,5.771428571428571,100.0
