dataset,method,protocol,budget,seed,fault_type,exact_fault_recall,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events
tep,PCA-Triage,fixed_full_data,0.5,42,18,0.8228690228690229,0.9849498327759197,0.9796257796257797,0.9822805920366896,0.37894736842105264,0.6210526315789474,1.0,0.8,0.0,14.0,5.6,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,19,0.6507276507276507,0.9838375466224617,0.9871101871101872,0.9854711498547115,0.4105263157894737,0.5894736842105263,1.0,0.0,0.0,12.0,4.8,5.0
tep,PCA-Triage,fixed_full_data,0.5,42,20,0.6935550935550936,0.9792272538429581,0.98004158004158,0.9796342477140482,0.5263157894736842,0.47368421052631576,1.0,0.2,0.0,7.0,2.8,5.0
tep,Variance,method_retrained,0.5,42,1,0.9796257796257797,0.9966694421315571,0.9954261954261955,0.9960474308300395,0.08421052631578947,0.9157894736842105,1.0,1.8,1.0,5.0,2.0,5.0
tep,Variance,method_retrained,0.5,42,2,0.9713097713097714,0.9962073324905183,0.982952182952183,0.9895353704478862,0.09473684210526316,0.9052631578947369,1.0,3.6,2.0,5.0,2.0,5.0
tep,Variance,method_retrained,0.5,42,3,0.19085239085239086,0.9941972920696325,0.6411642411642412,0.7795753286147624,0.09473684210526316,0.9052631578947369,1.0,4.8,1.0,3.0,1.2,5.0
tep,Variance,method_retrained,0.5,42,4,0.9683991683991684,0.9966777408637874,0.997920997920998,0.9972989819239559,0.08421052631578947,0.9157894736842105,1.0,1.0,1.0,4.0,1.6,5.0
tep,Variance,method_retrained,0.5,42,5,0.7284823284823285,0.9955595026642984,0.9322245322245323,0.9628516212153747,0.10526315789473684,0.8947368421052632,1.0,0.8,0.0,5.0,2.0,5.0
tep,Variance,method_retrained,0.5,42,6,0.9975051975051975,0.9950310559006211,0.9991683991683992,0.9970954356846473,0.12631578947368421,0.8736842105263158,1.0,0.4,0.0,2.0,0.8,5.0
tep,Variance,method_retrained,0.5,42,7,0.9954261954261955,0.9950248756218906,0.997920997920998,0.9964708324683413,0.12631578947368421,0.8736842105263158,1.0,1.0,1.0,6.0,2.4,5.0
tep,Variance,method_retrained,0.5,42,8,0.7800415800415801,0.9961439588688946,0.9667359667359667,0.9812196665963283,0.09473684210526316,0.9052631578947369,1.0,6.4,2.0,2.0,0.8,5.0
tep,Variance,method_retrained,0.5,42,9,0.1546777546777547,0.9927679158448389,0.6278586278586279,0.7692307692307693,0.11578947368421053,0.8842105263157894,1.0,5.0,0.0,5.0,2.0,5.0
tep,Variance,method_retrained,0.5,42,10,0.5721413721413722,0.9968225147526101,0.9130977130977131,0.953125,0.07368421052631578,0.9263157894736842,1.0,2.6,1.0,4.0,1.6,5.0
tep,Variance,method_retrained,0.5,42,11,0.7093555093555094,0.9968623935454953,0.9247401247401248,0.9594477998274374,0.07368421052631578,0.9263157894736842,1.0,5.0,3.0,3.0,1.2,5.0
tep,Variance,method_retrained,0.5,42,12,0.7496881496881497,0.9966372425388819,0.9858627858627859,0.9912207357859532,0.08421052631578947,0.9157894736842105,1.0,2.4,1.0,5.0,2.0,5.0
tep,Variance,method_retrained,0.5,42,13,0.6798336798336798,0.9961038961038962,0.9567567567567568,0.976033934252386,0.09473684210526316,0.9052631578947369,1.0,5.0,1.0,4.0,1.6,5.0
