fault,fault_name,method,f1_mean,f1_std
1,A/C feed ratio step,PCA-Triage,0.8445529240645385,0.016013851039985955
1,A/C feed ratio step,Variance,0.8582928545870235,0.002486146837015327
1,A/C feed ratio step,Threshold,0.9072135729529415,0.008853983035755549
1,A/C feed ratio step,Uniform,0.8470999656986269,0.005387906954081559
1,A/C feed ratio step,Full Data,0.976952473014756,0.00010480495023449872
2,B composition step,PCA-Triage,0.813918612419347,0.006260269537759018
2,B composition step,Variance,0.8672696898530038,0.0022564139025992307
2,B composition step,Threshold,0.9084542552225896,0.0025414503795477385
2,B composition step,Uniform,0.8597693968306167,0.000502734271234032
2,B composition step,Full Data,0.9700873482787479,9.079420228066364e-05
4,Reactor CW temp step,PCA-Triage,0.7227154419347683,0.028863238414725764
4,Reactor CW temp step,Variance,0.7394426196425022,0.0029699278677816753
4,Reactor CW temp step,Threshold,0.7358238406186371,0.02176953302585833
4,Reactor CW temp step,Uniform,0.739971508956495,0.0025876360883836783
4,Reactor CW temp step,Full Data,0.9796592566792706,5.26966432353662e-07
5,Condenser CW temp step,PCA-Triage,0.7737911419434048,0.03864152801032346
5,Condenser CW temp step,Variance,0.7220347933902954,0.0017323489812955456
5,Condenser CW temp step,Threshold,0.7967490297986015,0.010197595026099876
5,Condenser CW temp step,Uniform,0.7063673983137969,0.0019317511666961191
5,Condenser CW temp step,Full Data,0.9749920612086269,9.050980629576408e-05
6,A feed loss,PCA-Triage,0.9017242626070548,0.05536463317386166
6,A feed loss,Variance,0.8963717063738335,0.0012938714941345777
6,A feed loss,Threshold,0.9549617562354825,0.002733226635079086
6,A feed loss,Uniform,0.8886279213035896,0.0018685044717662955
6,A feed loss,Full Data,0.9799930810600422,2.826079891762397e-07
7,C header pressure loss,PCA-Triage,0.9191836872774418,0.04473352804654701
7,C header pressure loss,Variance,0.7923029003550258,0.000734490886868246
7,C header pressure loss,Threshold,0.862167551607337,0.012375777922577791
7,C header pressure loss,Uniform,0.7774542023699073,0.004766423411237643
7,C header pressure loss,Full Data,0.9799927463371848,2.893371031979272e-07
11,Reactor CW temp random,PCA-Triage,0.6096109088308262,0.05971410420124679
11,Reactor CW temp random,Variance,0.6896140604434434,0.004352814386370849
11,Reactor CW temp random,Threshold,0.6151085747570172,0.0038189307219221474
11,Reactor CW temp random,Uniform,0.6978945677133179,0.004500961183958146
11,Reactor CW temp random,Full Data,0.9093894262948171,0.0002986615492423322
12,Condenser CW temp random,PCA-Triage,0.8027900045353439,0.02783945425672316
12,Condenser CW temp random,Variance,0.836004466633454,0.0008779620526107719
12,Condenser CW temp random,Threshold,0.8408042210037401,0.0042841775244609505
12,Condenser CW temp random,Uniform,0.8253925208186582,0.003962735754153422
12,Condenser CW temp random,Full Data,0.967455825017603,0.00013796382115309312
13,Reaction kinetics drift,PCA-Triage,0.7934193382823929,0.004983083004132758
13,Reaction kinetics drift,Variance,0.8261093768689243,0.0016145727508655612
13,Reaction kinetics drift,Threshold,0.8315991622930731,0.00814741477874533
13,Reaction kinetics drift,Uniform,0.8114530107845358,0.004342057393044449
13,Reaction kinetics drift,Full Data,0.9369905870474361,0.00024275329340377197
14,Reactor CW valve stick,PCA-Triage,0.7765044297082785,0.08533350502753063
14,Reactor CW valve stick,Variance,0.7648491587440046,0.0031895068936837576
14,Reactor CW valve stick,Threshold,0.7103504842521294,0.0045195013335837635
14,Reactor CW valve stick,Uniform,0.7653164270080127,0.005158957576051098
14,Reactor CW valve stick,Full Data,0.9781036856634691,9.111671718593743e-05
