config,f1_mean,f1_std
Fixed k=3,0.9686409592239164,0.0021221648981787533
Fixed k=5,0.968226721016154,0.0025583642712849607
Fixed k=10,0.9669863829585635,0.0007191962304728044
Fixed k=15,0.9635727738164803,0.0021320798094528986
Fixed k=20,0.9517089680634016,0.003142749921974378
Adaptive k (95%),0.9517089680634016,0.003142749921974378
Adaptive k (90%),0.9635727738164803,0.0021320798094528986
Adaptive k (99%),0.9517089680634016,0.003142749921974378
