budget,reconstruction,f1_mean,f1_std,nrmse_mean
0.1,forward_fill,0.9102363943795705,0.0033895244116160053,0.2378217282289926
0.1,linear,0.9282828802675677,0.002401177955927933,0.20509505991283108
0.1,zero,0.432707031797314,0.0005263952295816785,0.27645712265203387
0.3,forward_fill,0.9250768874874192,0.002944434304725373,0.15775499088592634
0.3,linear,0.9439478068531101,0.0013607353260680385,0.12345399445082889
0.3,zero,0.5744626398074172,0.002462456880722448,0.24554001282328453
0.5,forward_fill,0.9615788412005871,0.002203479106506594,0.06554886967328248
0.5,linear,0.9680836313840984,0.001386308402274789,0.04911876120086334
0.5,zero,0.756581805571923,0.0004250140724044769,0.19377149993735784
0.7,forward_fill,0.9619957249378782,0.0027284750375500904,0.030222115204282637
0.7,linear,0.9655487107612682,0.0025092689371678367,0.022045368792309766
0.7,zero,0.92996768030594,0.0007439367728477865,0.15747304071969798
