dataset,method,protocol,budget,seed,requested_budget,weighted_f1,macro_f1,macro_precision,macro_recall,rmse,mae,nrmse_mean,available_values,transmitted_values,transmitted_payload_bytes,payload_bytes_per_value,realized_bandwidth,budget_excess,max_window_budget_excess,max_window_excess_values,n_windows,elapsed_s,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events,binary_detected_events,binary_missed_events
tep,PCA-Triage,method_retrained,0.5,123,0.5,0.6773239713142836,0.6857396956427477,0.7003162978012665,0.6776778176778177,0.27101448758850755,0.10439260120715803,0.026913376686904855,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,13.330365250003524,0.9617823177175062,0.9082744282744283,0.9342628630084256,0.39454545454545453,0.6054545454545455,1.0,2.53,1.0,379.0,7.219047619047619,100.0,100.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,123,0.5,0.6733060131626791,0.683652420002421,0.6897774456681847,0.6919056169056169,0.27101448758850755,0.10439260120715803,0.026913376686904855,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,13.62855833300273,0.940253771605555,0.9782744282744282,0.9588873605379795,0.6795454545454546,0.32045454545454544,1.0,0.16,0.0,445.0,8.476190476190476,100.0,100.0,0.0
tep,Variance,method_retrained,0.5,123,0.5,0.6755103760094139,0.684326141536242,0.698336674979784,0.6770278595278596,0.2604651874656705,0.09877553556400957,0.025455346068476405,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,10.292701334001322,0.9613970588235294,0.9024740124740125,0.9310041607686699,0.3961363636363636,0.6038636363636364,1.0,3.31,1.0,420.0,8.0,100.0,100.0,0.0
tep,Variance,fixed_full_data,0.5,123,0.5,0.6731731151136038,0.683587204708961,0.6897099266586676,0.6926810126810127,0.2604651874656705,0.09877553556400957,0.025455346068476405,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,10.55046379200212,0.9399624765478424,0.979085239085239,0.959125068735871,0.6836363636363636,0.31636363636363635,1.0,0.16,0.0,430.0,8.19047619047619,100.0,100.0,0.0
tep,Threshold,method_retrained,0.5,123,0.5,0.6392480677518677,0.6465644211668747,0.6630128618362086,0.6418346518346517,0.38136787929009835,0.13818838393329144,0.037995341028904527,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,9.427009250000992,0.966314833730564,0.8850519750519751,0.9238999511692257,0.3372727272727273,0.6627272727272727,1.0,5.31,1.0,289.0,5.504761904761905,100.0,100.0,0.0
tep,Threshold,fixed_full_data,0.5,123,0.5,0.6408963450574112,0.6506173873988833,0.6603883031863337,0.6624066474066473,0.38136787929009835,0.13818838393329144,0.037995341028904527,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,9.713676332998148,0.93846949327818,0.981081081081081,0.9593023255813954,0.7031818181818181,0.2968181818181818,1.0,0.16,0.0,381.0,7.257142857142857,100.0,100.0,0.0
tep,Uniform,method_retrained,0.5,123,0.5,0.7058197021788022,0.7147635122935073,0.7302645424372447,0.7065654390654392,0.4821052343693752,0.17515604418780129,0.03629791605069749,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,10.41641570799402,0.9630637550751674,0.9123076923076923,0.9369988789836118,0.3825,0.6175,1.0,2.21,1.0,516.0,9.82857142857143,100.0,100.0,0.0
tep,Uniform,fixed_full_data,0.5,123,0.5,0.6862800852434079,0.6972552644901855,0.7115419871480817,0.6981829656829658,0.4821052343693752,0.17515604418780129,0.03629791605069749,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,10.690617457999906,0.940663001163864,0.9745738045738046,0.9573181938856781,0.6720454545454545,0.32795454545454544,1.0,0.16,0.0,461.0,8.780952380952382,100.0,100.0,0.0
tep,Full Data,method_retrained,1.0,123,0.5,0.7271902249512493,0.7390531019775166,0.7491975804085375,0.7366808641808642,0.0,0.0,0.0,2730000,2730000,10920000,4,1.0,0.0,0.0,0,1050,7.636233125005674,0.943012403539251,0.9704989604989605,0.9565582672486219,0.6411363636363636,0.3588636363636364,1.0,0.34,0.0,430.0,8.19047619047619,100.0,100.0,0.0
tep,Full Data,fixed_full_data,1.0,123,0.5,0.7271902249512493,0.7390531019775166,0.7491975804085375,0.7366808641808642,0.0,0.0,0.0,2730000,2730000,10920000,4,1.0,0.0,0.0,0,1050,7.898014209000394,0.943012403539251,0.9704989604989605,0.9565582672486219,0.6411363636363636,0.3588636363636364,1.0,0.34,0.0,430.0,8.19047619047619,100.0,100.0,0.0
