dataset,method,budget,seed,f1,time
TEP,Threshold,0.6,42,0.9677277316202038,0.2479171752929687
TEP,Threshold,0.6,123,0.9671743439794632,0.2381520271301269
TEP,Threshold,0.6,456,0.9618878239920052,0.2365329265594482
TEP,Threshold,0.7,42,0.9677277316202038,0.2314231395721435
TEP,Threshold,0.7,123,0.9671743439794632,0.2290272712707519
TEP,Threshold,0.7,456,0.9618878239920052,0.2329981327056884
TEP,Threshold,0.8,42,0.9677277316202038,0.2287337779998779
TEP,Threshold,0.8,123,0.9671743439794632,0.2429661750793457
TEP,Threshold,0.8,456,0.9618878239920052,0.2450029850006103
TEP,Threshold,0.9,42,0.9677277316202038,0.2359068393707275
TEP,Threshold,0.9,123,0.9671743439794632,0.2431888580322265
TEP,Threshold,0.9,456,0.9618878239920052,0.2454559803009033
TEP,Variance,0.1,42,0.9041432404715596,0.2013330459594726
TEP,Variance,0.1,123,0.9101496702955592,0.2492368221282959
TEP,Variance,0.1,456,0.9112309661732708,0.2110700607299804
TEP,Variance,0.2,42,0.9077827323883464,0.2606966495513916
TEP,Variance,0.2,123,0.9131039409657722,0.3171970844268799
TEP,Variance,0.2,456,0.9158986641283592,0.2115299701690673
TEP,Variance,0.3,42,0.9148488168861884,0.2118937969207763
TEP,Variance,0.3,123,0.9149344637862694,0.2107787132263183
TEP,Variance,0.3,456,0.9215248721590336,0.2190561294555664
TEP,Variance,0.4,42,0.9270553139927916,0.2215180397033691
TEP,Variance,0.4,123,0.9214566201862944,0.2265820503234863
TEP,Variance,0.4,456,0.9321492231032792,0.2298831939697265
TEP,Variance,0.5,42,0.950738667266745,0.2214362621307373
TEP,Variance,0.5,123,0.9409008935585074,0.2196240425109863
TEP,Variance,0.5,456,0.9477582831371444,0.3101520538330078
TEP,Variance,0.6,42,0.9590549918382536,0.2244319915771484
TEP,Variance,0.6,123,0.9571414312664738,0.214918851852417
TEP,Variance,0.6,456,0.9609027878912552,0.2131860256195068
TEP,Variance,0.7,42,0.9610031739270676,0.2178912162780761
TEP,Variance,0.7,123,0.959628760921678,0.2158989906311035
TEP,Variance,0.7,456,0.961307600175993,0.2095258235931396
TEP,Variance,0.8,42,0.9620540890914068,0.2148289680480957
TEP,Variance,0.8,123,0.959194344366631,0.2117512226104736
TEP,Variance,0.8,456,0.9621226684274105,0.2204101085662841
TEP,Variance,0.9,42,0.9619760452770691,0.2130129337310791
TEP,Variance,0.9,123,0.9604560634652454,0.2171001434326172
TEP,Variance,0.9,456,0.9615973191884516,0.2279219627380371
TEP,Random Dropout,0.1,42,0.4623218984832143,0.0859651565551757
TEP,Random Dropout,0.1,123,0.4753126014332663,0.0843787193298339
TEP,Random Dropout,0.1,456,0.4427781115563103,0.0884068012237548
TEP,Random Dropout,0.2,42,0.5976068429319685,0.0872559547424316
TEP,Random Dropout,0.2,123,0.5911685449169316,0.0921521186828613
TEP,Random Dropout,0.2,456,0.5853655705149903,0.0950429439544677
TEP,Random Dropout,0.3,42,0.6757467769954296,0.0916848182678222
TEP,Random Dropout,0.3,123,0.6803763797545007,0.1105601787567138
TEP,Random Dropout,0.3,456,0.6677962647638634,0.0908842086791992
TEP,Random Dropout,0.4,42,0.7276648189103379,0.097100019454956
TEP,Random Dropout,0.4,123,0.7403893553637947,0.0893270969390869
TEP,Random Dropout,0.4,456,0.7272761903208612,0.0906512737274169
TEP,Random Dropout,0.5,42,0.7884020390894503,0.094614028930664
TEP,Random Dropout,0.5,123,0.7896062636712275,0.0887019634246826
TEP,Random Dropout,0.5,456,0.7838226379127248,0.092005968093872
TEP,Random Dropout,0.6,42,0.8266602483860547,0.0944211483001709
TEP,Random Dropout,0.6,123,0.8315751632758557,0.095797061920166
TEP,Random Dropout,0.6,456,0.8012521214954885,0.0949840545654296
TEP,Random Dropout,0.7,42,0.872484396134516,0.0854787826538086
TEP,Random Dropout,0.7,123,0.8694654850544676,0.0917799472808837
TEP,Random Dropout,0.7,456,0.8463751737869749,0.1080710887908935
TEP,Random Dropout,0.8,42,0.8896938524981306,0.0970091819763183
TEP,Random Dropout,0.8,123,0.8980077827100511,0.0940401554107666
TEP,Random Dropout,0.8,456,0.8903843251857199,0.0942940711975097
TEP,Random Dropout,0.9,42,0.9185342848966552,0.0922451019287109
TEP,Random Dropout,0.9,123,0.9320804340141172,0.0865499973297119
TEP,Random Dropout,0.9,456,0.9217884661248568,0.0876171588897705
TEP,Mutual Info,0.1,42,0.9184961396534423,3.799250841140747
TEP,Mutual Info,0.1,123,0.9135230936224752,3.7503018379211426
TEP,Mutual Info,0.1,456,0.914108262204,3.617058038711548
TEP,Mutual Info,0.2,42,0.9177819234379784,3.603813886642456
TEP,Mutual Info,0.2,123,0.911054926550862,3.617625951766968
TEP,Mutual Info,0.2,456,0.9108092519132848,3.6603341102600098
TEP,Mutual Info,0.3,42,0.912789163176022,4.118334054946899
TEP,Mutual Info,0.3,123,0.9116751646188588,3.678685188293457
TEP,Mutual Info,0.3,456,0.9139293945792156,3.647011995315552
TEP,Mutual Info,0.4,42,0.913142246866314,3.700209856033325
TEP,Mutual Info,0.4,123,0.9097303078746602,3.767956018447876
TEP,Mutual Info,0.4,456,0.9147511526494132,3.727447032928467
TEP,Mutual Info,0.5,42,0.9112773620424924,3.6771819591522217
TEP,Mutual Info,0.5,123,0.9100182775512586,3.7027828693389897
TEP,Mutual Info,0.5,456,0.9152096838173576,3.7071611881256104
TEP,Mutual Info,0.6,42,0.9139589788846127,3.816049098968506
TEP,Mutual Info,0.6,123,0.910821236537706,3.706322193145752
TEP,Mutual Info,0.6,456,0.9168680689338088,3.640439033508301
TEP,Mutual Info,0.7,42,0.9142070523068728,3.652257919311523
TEP,Mutual Info,0.7,123,0.9133221960701716,3.64729905128479
TEP,Mutual Info,0.7,456,0.9154691247599666,3.672863006591797
TEP,Mutual Info,0.8,42,0.9149504673765992,3.759541749954224
TEP,Mutual Info,0.8,123,0.9099702064568826,3.621093988418579
TEP,Mutual Info,0.8,456,0.915658895603271,3.619265079498291
TEP,Mutual Info,0.9,42,0.916429744585063,3.6441688537597656
TEP,Mutual Info,0.9,123,0.9100651183844708,3.657047748565674
TEP,Mutual Info,0.9,456,0.9162838081932618,3.643649101257324
TEP,PCA-Triage,0.5,789,0.9600859871337559,0.6838779449462891
TEP,PCA-Triage,0.5,1024,0.9623467311774345,0.7086231708526611
TEP,Uniform,0.5,789,0.924125468201729,0.05089092254638672
TEP,Uniform,0.5,1024,0.9267201287001927,0.04629015922546387
TEP,Threshold,0.5,789,0.955419800555364,0.21570086479187012
TEP,Threshold,0.5,1024,0.960755105494702,0.21475934982299805
TEP,Variance,0.5,789,0.948702042099513,0.19058775901794434
TEP,Variance,0.5,1024,0.9507527065511878,0.20556306838989258
TEP,Random Dropout,0.5,789,0.7877786748525379,0.06940293312072754
TEP,Random Dropout,0.5,1024,0.7900637309341217,0.07034492492675781
TEP,Mutual Info,0.5,789,0.9171523342010494,3.5523221492767334
TEP,Mutual Info,0.5,1024,0.9143177980698987,3.5319747924804688
