dataset,method,protocol,budget,seed,fault_type,exact_fault_recall,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events,binary_detected_events,binary_missed_events
tep,Threshold,fixed_full_data,0.5,42,5,0.8224532224532225,0.9832104832104832,0.9983367983367983,0.990715906746441,0.43157894736842106,0.5684210526315789,1.0,0.0,0.0,9.0,3.6,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,6,0.9975051975051975,0.9824346405228758,1.0,0.9911395013393777,0.45263157894736844,0.5473684210526316,1.0,0.0,0.0,13.0,5.2,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,7,0.9941787941787942,0.984036021285305,0.9995841995841996,0.9917491749174917,0.4105263157894737,0.5894736842105263,1.0,0.2,0.0,15.0,6.0,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,8,0.8382536382536383,0.9835187474248043,0.9925155925155925,0.9879966887417219,0.42105263157894735,0.5789473684210527,1.0,0.2,0.0,12.0,4.8,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,9,0.10353430353430354,0.9827814569536424,0.9255717255717256,0.9533190578158458,0.4105263157894737,0.5894736842105263,1.0,0.2,0.0,12.0,4.8,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,10,0.5617463617463617,0.9871262458471761,0.9883575883575884,0.9877415333471847,0.3263157894736842,0.6736842105263158,1.0,0.0,0.0,13.0,5.2,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,11,0.7293139293139294,0.9818406933553446,0.9891891891891892,0.9855012427506213,0.4631578947368421,0.5368421052631579,1.0,0.4,0.0,7.0,2.8,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,12,0.6232848232848233,0.9852277390233894,0.9983367983367983,0.9917389508467576,0.37894736842105264,0.6210526315789474,1.0,0.2,0.0,11.0,4.4,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,13,0.7185031185031185,0.9826589595375722,0.9896049896049897,0.9861197431116635,0.4421052631578947,0.5578947368421052,1.0,0.2,0.0,13.0,5.2,5.0,5.0,0.0
tep,Threshold,fixed_full_data,0.5,42,14,0.8860706860706861,0.982420278004906,0.9991683991683992,0.9907235621521335,0.45263157894736844,0.5473684210526316,1.0,0.0,0.0,12.0,4.8,5.0,5.0,0.0
