dataset,method,budget,seed,f1,time
NASA_Bearing,PCA-Triage,0.7,456,0.8725262368815592,0.005295991897583008
NASA_Bearing,PCA-Triage,0.7,789,0.8502956738250856,0.005374908447265625
NASA_Bearing,PCA-Triage,0.7,1024,0.869052898321191,0.005143165588378906
NASA_Bearing,PCA-Triage,0.8,42,0.8969933889048576,0.0053980350494384766
NASA_Bearing,PCA-Triage,0.8,123,0.9396176911544228,0.005265951156616211
NASA_Bearing,PCA-Triage,0.8,456,0.9096589915476537,0.005279064178466797
NASA_Bearing,PCA-Triage,0.8,789,0.9060719640179912,0.005197048187255859
NASA_Bearing,PCA-Triage,0.8,1024,0.9229128416227154,0.005572080612182617
NASA_Bearing,PCA-Triage,0.9,42,0.9398211957533992,0.005365133285522461
NASA_Bearing,PCA-Triage,0.9,123,0.953117556396245,0.005543947219848633
NASA_Bearing,PCA-Triage,0.9,456,0.9533333333333334,0.0054018497467041016
NASA_Bearing,PCA-Triage,0.9,789,0.9496357301235351,0.005428791046142578
NASA_Bearing,PCA-Triage,0.9,1024,0.9631322286021682,0.005405902862548828
NASA_Bearing,Uniform,0.1,42,0.5389729314405914,0.00036978721618652344
NASA_Bearing,Uniform,0.1,123,0.5651983584131327,0.00040411949157714844
NASA_Bearing,Uniform,0.1,456,0.5427732127627892,0.0003609657287597656
NASA_Bearing,Uniform,0.1,789,0.5503465982028241,0.0003762245178222656
NASA_Bearing,Uniform,0.1,1024,0.5108957398944524,0.0004038810729980469
NASA_Bearing,Uniform,0.2,42,0.5651983584131327,0.0003898143768310547
NASA_Bearing,Uniform,0.2,123,0.5732859531772576,0.00040793418884277344
NASA_Bearing,Uniform,0.2,456,0.5526819423660402,0.00039696693420410156
NASA_Bearing,Uniform,0.2,789,0.5744962435942087,0.00041604042053222656
NASA_Bearing,Uniform,0.2,1024,0.5303412301673549,0.0003771781921386719
NASA_Bearing,Uniform,0.3,42,0.6574069319640565,0.00043129920959472656
NASA_Bearing,Uniform,0.3,123,0.5958830571969258,0.0004520416259765625
NASA_Bearing,Uniform,0.3,456,0.5981459243959845,0.0004220008850097656
NASA_Bearing,Uniform,0.3,789,0.589710126450237,0.0004401206970214844
NASA_Bearing,Uniform,0.3,1024,0.6149287749287748,0.00046372413635253906
NASA_Bearing,Uniform,0.4,42,0.6832234432234431,0.0004329681396484375
NASA_Bearing,Uniform,0.4,123,0.6761946123016218,0.00043702125549316406
NASA_Bearing,Uniform,0.4,456,0.6377061469265367,0.0004410743713378906
NASA_Bearing,Uniform,0.4,789,0.7077580267328096,0.0004260540008544922
NASA_Bearing,Uniform,0.4,1024,0.672152843425046,0.00044417381286621094
NASA_Bearing,Uniform,0.5,42,0.73786133960047,0.0004730224609375
NASA_Bearing,Uniform,0.5,123,0.7455198844303299,0.0004210472106933594
NASA_Bearing,Uniform,0.5,456,0.704891360313047,0.00043892860412597656
NASA_Bearing,Uniform,0.5,789,0.7325665211547383,0.00039696693420410156
NASA_Bearing,Uniform,0.5,1024,0.7548009030212787,0.0004420280456542969
NASA_Bearing,Uniform,0.6,42,0.7564946278932303,0.0004291534423828125
NASA_Bearing,Uniform,0.6,123,0.8156611430108408,0.00045108795166015625
NASA_Bearing,Uniform,0.6,456,0.8031942882972682,0.0004107952117919922
NASA_Bearing,Uniform,0.6,789,0.7856802578114054,0.0004589557647705078
NASA_Bearing,Uniform,0.6,1024,0.7473199484251243,0.0004181861877441406
NASA_Bearing,Uniform,0.7,42,0.832271364317841,0.0003981590270996094
NASA_Bearing,Uniform,0.7,123,0.8630330927223908,0.0004086494445800781
NASA_Bearing,Uniform,0.7,456,0.850102289670477,0.0004279613494873047
NASA_Bearing,Uniform,0.7,789,0.8494316525794229,0.00040030479431152344
NASA_Bearing,Uniform,0.7,1024,0.8165370484127076,0.00036907196044921875
NASA_Bearing,Uniform,0.8,42,0.9031209680231544,0.00038886070251464844
NASA_Bearing,Uniform,0.8,123,0.8964396554730272,0.0003800392150878906
NASA_Bearing,Uniform,0.8,456,0.8931798133618087,0.0004029273986816406
NASA_Bearing,Uniform,0.8,789,0.8822608552360551,0.0004112720489501953
NASA_Bearing,Uniform,0.8,1024,0.8960999169697467,0.00042819976806640625
NASA_Bearing,Uniform,0.9,42,0.9135568244612267,0.0003998279571533203
NASA_Bearing,Uniform,0.9,123,0.9197615943378656,0.0003960132598876953
NASA_Bearing,Uniform,0.9,456,0.929950509393943,0.00039505958557128906
NASA_Bearing,Uniform,0.9,789,0.9135568244612267,0.0003879070281982422
NASA_Bearing,Uniform,0.9,1024,0.9231649056735362,0.00036787986755371094
NASA_Bearing,Threshold,0.1,42,0.5347569491372709,0.002825021743774414
NASA_Bearing,Threshold,0.1,123,0.5876880984952121,0.002880096435546875
NASA_Bearing,Threshold,0.1,456,0.5317202058128216,0.002743959426879883
NASA_Bearing,Threshold,0.1,789,0.5402946414116885,0.0028600692749023438
NASA_Bearing,Threshold,0.1,1024,0.5725115403879736,0.0027151107788085938
NASA_Bearing,Threshold,0.2,42,0.6143589743589744,0.0028421878814697266
NASA_Bearing,Threshold,0.2,123,0.6701531489096256,0.0027511119842529297
NASA_Bearing,Threshold,0.2,456,0.6295981890209394,0.0027010440826416016
NASA_Bearing,Threshold,0.2,789,0.5787048181558735,0.002855062484741211
NASA_Bearing,Threshold,0.2,1024,0.6502695763799743,0.002696990966796875
NASA_Bearing,Threshold,0.3,42,0.6666293706293707,0.002672910690307617
NASA_Bearing,Threshold,0.3,123,0.7565349544072948,0.002788066864013672
NASA_Bearing,Threshold,0.3,456,0.6843345789019833,0.002749204635620117
NASA_Bearing,Threshold,0.3,789,0.6927342927342928,0.0027909278869628906
