component,f1_mean,f1_std,n_seeds
Full PCA-Triage,0.9614160997612482,0.001732395179802681,5
No PCA (Variance),0.9489523418077083,0.0013094178398245393,5
No smoothing (lambda=0.001),0.9543475956379126,0.001795481395070215,5
No min-rate floor (r_min=0.001),0.9634285520883592,0.0024777366960655233,5
No proportional (Threshold),0.9584083898475146,0.004300602087631429,5
No data-driven (Uniform),0.9236090714984039,0.0021413943954995364,5
Aggressive smoothing (lambda=0.5),0.95402548113702,0.002193058313349806,5
Minimal PCA (k=2),0.9619885222650083,0.0037675633258520713,5
